"SHOW","THIS.WEEK.GROSS...POTENTIAL.GROSS","DIFF..","AVG.TICKET...TOP.TICKET","SEATS.SOLD...SEATS.IN.THEATRE","PERFS.PREVIEWS","X..CAP","DIFF...CAP","WEEK.DATE"
"Prayer For The French Republic",234622,0,86.58,2710,0,85.09,0,"2023-12-24"
"Purlie Victorious",465719,-131537.88,111.02,4195,8,52.39,-14.49,"2023-12-24"
"Shucked",734605.2,-151034.4,89.64,8195,8,87.48,-4.48,"2023-12-24"
"SIX: The Musical",1007520.1,-110631.9,143.34,7029,7,97.4,0.35,"2023-12-24"
"Some Like It Hot",938427.25,-12768.45,93.4,10047,8,86.73,6.17,"2023-12-24"
"Spamalot",1049931.2,131237.9,98.01,10713,8,81.01,4.35,"2023-12-24"
"Sweeney Todd",1872146.5,48419.25,178.32,10499,7,100.12,0.97,"2023-12-24"
"Wicked",2525966,216726,164.13,15390,8,99.88,-0.09,"2023-12-24"
"& Juliet",1199036.9,-24434.5,157.79,7599,8,92.58,-2.52,"2023-12-17"
"Aladdin",1575831.6,33143.5,120.69,13057,8,94.51,-1.96,"2023-12-17"
"Appropriate",513670.15,-16138.75,112.06,4584,0,98.62,0.34,"2023-12-17"
"Back To The Future",1364938.38,26824.42,126.29,10808,8,91.41,0.34,"2023-12-17"
